# ============================================================
# Commissioning phase pre-populated cache
# Format: input_sequence|output_sequence
# Generated from real device observations
# ============================================================

# --- Depth 1: single symbols without ARM_FAILSAFE ---
COMM_ARM_FAILSAFE|COMM_FAILSAFE_ARMED
COMM_ARM_FAILSAFE,COMM_ADD_NOC,COMM_ATTESTATION_REQUEST|COMM_FAILSAFE_ARMED,INVALID_STATE,COMM_ATTESTATION_SENT

# --- Depth 4: ARM_FAILSAFE + CSR + root + one symbol ---
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_ADD_TRUSTED_ROOT_CERT,COMM_ATTESTATION_REQUEST|COMM_FAILSAFE_ARMED,COMM_CSR_RECEIVED,COMM_ROOT_CERT_INSTALLED,COMM_ATTESTATION_SENT
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_ADD_TRUSTED_ROOT_CERT,COMM_ARM_FAILSAFE|INVALID_STATE,INVALID_STATE,INVALID_STATE,INVALID_STATE
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_ADD_TRUSTED_ROOT_CERT,COMM_ADD_TRUSTED_ROOT_CERT|INVALID_STATE,INVALID_STATE,INVALID_STATE,INVALID_STATE
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_ADD_TRUSTED_ROOT_CERT,COMM_ADD_NOC|COMM_FAILSAFE_ARMED,COMM_CSR_RECEIVED,COMM_ROOT_CERT_INSTALLED,COMM_NOC_INSTALLED

# --- Depth 4: ARM_FAILSAFE + CSR + NOC + one symbol (post-commissioning) ---
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_ADD_NOC,COMM_ARM_FAILSAFE|COMM_FAILSAFE_ARMED,COMM_CSR_RECEIVED,COMM_NOC_INSTALLED,INVALID_STATE
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_ADD_NOC,COMM_ATTESTATION_REQUEST|COMM_FAILSAFE_ARMED,COMM_CSR_RECEIVED,COMM_NOC_INSTALLED,INVALID_STATE
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_ADD_NOC,COMM_CERT_CHAIN_REQUEST_DAC|INVALID_STATE,INVALID_STATE,INVALID_STATE,INVALID_STATE
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_ADD_NOC,COMM_CERT_CHAIN_REQUEST_PAI|INVALID_STATE,INVALID_STATE,INVALID_STATE,INVALID_STATE
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_ADD_NOC,COMM_CSR_REQUEST|INVALID_STATE,INVALID_STATE,INVALID_STATE,INVALID_STATE
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_ADD_NOC,COMM_ADD_TRUSTED_ROOT_CERT|INVALID_STATE,INVALID_STATE,INVALID_STATE,INVALID_STATE
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_ADD_NOC,COMM_ADD_NOC|INVALID_STATE,INVALID_STATE,INVALID_STATE,INVALID_STATE

# --- Depth 4: ARM_FAILSAFE + CSR + ARM_FAILSAFE variations ---
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_ARM_FAILSAFE,COMM_ARM_FAILSAFE|INVALID_STATE,INVALID_STATE,INVALID_STATE,INVALID_STATE
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_ARM_FAILSAFE,COMM_CERT_CHAIN_REQUEST_DAC|INVALID_STATE,INVALID_STATE,INVALID_STATE,INVALID_STATE
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_ARM_FAILSAFE,COMM_CERT_CHAIN_REQUEST_PAI|INVALID_STATE,INVALID_STATE,INVALID_STATE,INVALID_STATE
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_ARM_FAILSAFE,COMM_CSR_REQUEST|INVALID_STATE,INVALID_STATE,INVALID_STATE,INVALID_STATE
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_ARM_FAILSAFE,COMM_ADD_NOC|INVALID_STATE,INVALID_STATE,INVALID_STATE,INVALID_STATE
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_ARM_FAILSAFE,COMM_ADD_TRUSTED_ROOT_CERT|INVALID_STATE,INVALID_STATE,INVALID_STATE,INVALID_STATE

# --- Depth 4: ADD_TRUSTED_ROOT_CERT without CSR (invalid paths) ---
COMM_ARM_FAILSAFE,COMM_ARM_FAILSAFE,COMM_ADD_TRUSTED_ROOT_CERT|INVALID_STATE,INVALID_STATE,INVALID_STATE
COMM_ARM_FAILSAFE,COMM_CERT_CHAIN_REQUEST_DAC,COMM_ADD_TRUSTED_ROOT_CERT|INVALID_STATE,INVALID_STATE,INVALID_STATE
COMM_ARM_FAILSAFE,COMM_CERT_CHAIN_REQUEST_PAI,COMM_ADD_TRUSTED_ROOT_CERT|INVALID_STATE,INVALID_STATE,INVALID_STATE
COMM_ARM_FAILSAFE,COMM_ADD_NOC,COMM_ADD_TRUSTED_ROOT_CERT|INVALID_STATE,INVALID_STATE,INVALID_STATE
COMM_ARM_FAILSAFE,COMM_ADD_TRUSTED_ROOT_CERT,COMM_ADD_TRUSTED_ROOT_CERT|INVALID_STATE,INVALID_STATE,INVALID_STATE

# --- Depth 4: ATTESTATION path invalid sequences ---
COMM_ARM_FAILSAFE,COMM_ATTESTATION_REQUEST,COMM_ADD_NOC,COMM_ATTESTATION_REQUEST|INVALID_STATE,INVALID_STATE,INVALID_STATE,INVALID_STATE
COMM_ARM_FAILSAFE,COMM_ATTESTATION_REQUEST,COMM_ADD_TRUSTED_ROOT_CERT,COMM_ATTESTATION_REQUEST|INVALID_STATE,INVALID_STATE,INVALID_STATE,INVALID_STATE
COMM_ARM_FAILSAFE,COMM_ATTESTATION_REQUEST,COMM_CSR_REQUEST,COMM_ATTESTATION_REQUEST|INVALID_STATE,INVALID_STATE,INVALID_STATE,INVALID_STATE
COMM_ARM_FAILSAFE,COMM_ATTESTATION_REQUEST,COMM_CERT_CHAIN_REQUEST_PAI,COMM_ATTESTATION_REQUEST|INVALID_STATE,INVALID_STATE,INVALID_STATE,INVALID_STATE
COMM_ARM_FAILSAFE,COMM_ATTESTATION_REQUEST,COMM_CERT_CHAIN_REQUEST_DAC,COMM_ATTESTATION_REQUEST|INVALID_STATE,INVALID_STATE,INVALID_STATE,INVALID_STATE
COMM_ARM_FAILSAFE,COMM_ATTESTATION_REQUEST,COMM_ATTESTATION_REQUEST,COMM_ATTESTATION_REQUEST|INVALID_STATE,INVALID_STATE,INVALID_STATE,INVALID_STATE
COMM_ARM_FAILSAFE,COMM_ATTESTATION_REQUEST,COMM_ARM_FAILSAFE,COMM_ATTESTATION_REQUEST|INVALID_STATE,INVALID_STATE,INVALID_STATE,INVALID_STATE
COMM_ARM_FAILSAFE,COMM_ATTESTATION_REQUEST,COMM_CERT_CHAIN_REQUEST_DAC,COMM_CERT_CHAIN_REQUEST_PAI|INVALID_STATE,INVALID_STATE,INVALID_STATE,INVALID_STATE

# --- Depth 5: skip attestation short paths ---
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_ADD_TRUSTED_ROOT_CERT,COMM_ADD_NOC,COMM_ATTESTATION_REQUEST|COMM_FAILSAFE_ARMED,COMM_CSR_RECEIVED,COMM_ROOT_CERT_INSTALLED,COMM_NOC_INSTALLED,INVALID_STATE
COMM_ARM_FAILSAFE,COMM_CERT_CHAIN_REQUEST_PAI,COMM_CSR_REQUEST,COMM_ADD_TRUSTED_ROOT_CERT,COMM_ADD_NOC|INVALID_STATE,INVALID_STATE,INVALID_STATE,INVALID_STATE,INVALID_STATE
COMM_ARM_FAILSAFE,COMM_CERT_CHAIN_REQUEST_DAC,COMM_CERT_CHAIN_REQUEST_PAI,COMM_CSR_REQUEST,COMM_ADD_TRUSTED_ROOT_CERT|COMM_FAILSAFE_ARMED,COMM_CERT_DAC_RECEIVED,COMM_CERT_PAI_RECEIVED,COMM_CSR_RECEIVED,COMM_ROOT_CERT_INSTALLED
COMM_ARM_FAILSAFE,COMM_CERT_CHAIN_REQUEST_PAI,COMM_CSR_REQUEST,COMM_ADD_TRUSTED_ROOT_CERT|COMM_FAILSAFE_ARMED,COMM_CERT_PAI_RECEIVED,COMM_CSR_RECEIVED,COMM_ROOT_CERT_INSTALLED
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_ADD_TRUSTED_ROOT_CERT|COMM_FAILSAFE_ARMED,COMM_CSR_RECEIVED,COMM_ROOT_CERT_INSTALLED

# --- Depth 5: CSR + ARM_FAILSAFE invalid paths ---
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_ADD_NOC,COMM_ADD_NOC,COMM_ATTESTATION_REQUEST|INVALID_STATE,INVALID_STATE,INVALID_STATE,INVALID_STATE,INVALID_STATE
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_ADD_NOC,COMM_ADD_TRUSTED_ROOT_CERT,COMM_ATTESTATION_REQUEST|INVALID_STATE,INVALID_STATE,INVALID_STATE,INVALID_STATE,INVALID_STATE
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_ADD_NOC,COMM_CSR_REQUEST,COMM_ATTESTATION_REQUEST|INVALID_STATE,INVALID_STATE,INVALID_STATE,INVALID_STATE,INVALID_STATE
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_ADD_NOC,COMM_CERT_CHAIN_REQUEST_PAI,COMM_ATTESTATION_REQUEST|INVALID_STATE,INVALID_STATE,INVALID_STATE,INVALID_STATE,INVALID_STATE
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_ADD_NOC,COMM_CERT_CHAIN_REQUEST_DAC,COMM_ATTESTATION_REQUEST|INVALID_STATE,INVALID_STATE,INVALID_STATE,INVALID_STATE,INVALID_STATE
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_ADD_NOC,COMM_ATTESTATION_REQUEST,COMM_ATTESTATION_REQUEST|INVALID_STATE,INVALID_STATE,INVALID_STATE,INVALID_STATE,INVALID_STATE
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_ADD_NOC,COMM_ARM_FAILSAFE,COMM_ATTESTATION_REQUEST|INVALID_STATE,INVALID_STATE,INVALID_STATE,INVALID_STATE,INVALID_STATE
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_ARM_FAILSAFE,COMM_ADD_NOC,COMM_ATTESTATION_REQUEST|INVALID_STATE,INVALID_STATE,INVALID_STATE,INVALID_STATE,INVALID_STATE
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_ARM_FAILSAFE,COMM_ADD_TRUSTED_ROOT_CERT,COMM_ATTESTATION_REQUEST|INVALID_STATE,INVALID_STATE,INVALID_STATE,INVALID_STATE,INVALID_STATE
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_ATTESTATION_REQUEST|INVALID_STATE,INVALID_STATE,INVALID_STATE,INVALID_STATE,INVALID_STATE
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_ARM_FAILSAFE,COMM_CERT_CHAIN_REQUEST_PAI,COMM_ATTESTATION_REQUEST|INVALID_STATE,INVALID_STATE,INVALID_STATE,INVALID_STATE,INVALID_STATE
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_ARM_FAILSAFE,COMM_CERT_CHAIN_REQUEST_DAC,COMM_ATTESTATION_REQUEST|INVALID_STATE,INVALID_STATE,INVALID_STATE,INVALID_STATE,INVALID_STATE
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_ARM_FAILSAFE,COMM_ATTESTATION_REQUEST,COMM_ATTESTATION_REQUEST|INVALID_STATE,INVALID_STATE,INVALID_STATE,INVALID_STATE,INVALID_STATE
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_ARM_FAILSAFE,COMM_ARM_FAILSAFE,COMM_ATTESTATION_REQUEST|INVALID_STATE,INVALID_STATE,INVALID_STATE,INVALID_STATE,INVALID_STATE
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_CERT_CHAIN_REQUEST_DAC,COMM_ARM_FAILSAFE,COMM_ATTESTATION_REQUEST|INVALID_STATE,INVALID_STATE,INVALID_STATE,INVALID_STATE,INVALID_STATE
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_CERT_CHAIN_REQUEST_PAI,COMM_ARM_FAILSAFE,COMM_ATTESTATION_REQUEST|INVALID_STATE,INVALID_STATE,INVALID_STATE,INVALID_STATE,INVALID_STATE
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_ATTESTATION_REQUEST,COMM_ARM_FAILSAFE,COMM_ATTESTATION_REQUEST|INVALID_STATE,INVALID_STATE,INVALID_STATE,INVALID_STATE,INVALID_STATE
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_ADD_TRUSTED_ROOT_CERT,COMM_ARM_FAILSAFE,COMM_ATTESTATION_REQUEST|INVALID_STATE,INVALID_STATE,INVALID_STATE,INVALID_STATE,INVALID_STATE
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_CSR_REQUEST,COMM_ARM_FAILSAFE,COMM_ATTESTATION_REQUEST|INVALID_STATE,INVALID_STATE,INVALID_STATE,INVALID_STATE,INVALID_STATE

# --- Depth 5: CSR repeat invalid ---
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_CSR_REQUEST,COMM_ATTESTATION_REQUEST|COMM_FAILSAFE_ARMED,COMM_CSR_RECEIVED,COMM_CSR_RECEIVED,COMM_ATTESTATION_SENT
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_CERT_CHAIN_REQUEST_DAC,COMM_ATTESTATION_REQUEST|COMM_FAILSAFE_ARMED,COMM_CSR_RECEIVED,COMM_CERT_DAC_RECEIVED,COMM_ATTESTATION_SENT
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_CERT_CHAIN_REQUEST_PAI,COMM_ATTESTATION_REQUEST|COMM_FAILSAFE_ARMED,COMM_CSR_RECEIVED,COMM_CERT_PAI_RECEIVED,COMM_ATTESTATION_SENT
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_ATTESTATION_REQUEST,COMM_ATTESTATION_REQUEST|COMM_FAILSAFE_ARMED,COMM_CSR_RECEIVED,COMM_ATTESTATION_SENT,COMM_ATTESTATION_SENT
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_CERT_CHAIN_REQUEST_DAC,COMM_ADD_TRUSTED_ROOT_CERT|INVALID_STATE,INVALID_STATE,INVALID_STATE,INVALID_STATE
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_CERT_CHAIN_REQUEST_PAI,COMM_ADD_TRUSTED_ROOT_CERT|INVALID_STATE,INVALID_STATE,INVALID_STATE,INVALID_STATE
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_CSR_REQUEST,COMM_ADD_TRUSTED_ROOT_CERT|INVALID_STATE,INVALID_STATE,INVALID_STATE,INVALID_STATE
COMM_ARM_FAILSAFE,COMM_CSR_REQUEST,COMM_ATTESTATION_REQUEST,COMM_ADD_TRUSTED_ROOT_CERT|INVALID_STATE,INVALID_STATE,INVALID_STATE,INVALID_STATE

# --- Happy path (depth 7) ---
COMM_ARM_FAILSAFE,COMM_ATTESTATION_REQUEST,COMM_CERT_CHAIN_REQUEST_DAC,COMM_CERT_CHAIN_REQUEST_PAI,COMM_CSR_REQUEST,COMM_ADD_TRUSTED_ROOT_CERT,COMM_ADD_NOC|COMM_FAILSAFE_ARMED,COMM_ATTESTATION_SENT,COMM_CERT_DAC_RECEIVED,COMM_CERT_PAI_RECEIVED,COMM_CSR_RECEIVED,COMM_ROOT_CERT_INSTALLED,COMM_NOC_INSTALLED

# --- Depth 6: happy path minus one step ---
COMM_ARM_FAILSAFE,COMM_ATTESTATION_REQUEST,COMM_CERT_CHAIN_REQUEST_DAC,COMM_CERT_CHAIN_REQUEST_PAI,COMM_CSR_REQUEST,COMM_ADD_TRUSTED_ROOT_CERT|COMM_FAILSAFE_ARMED,COMM_ATTESTATION_SENT,COMM_CERT_DAC_RECEIVED,COMM_CERT_PAI_RECEIVED,COMM_CSR_RECEIVED,COMM_ROOT_CERT_INSTALLED
COMM_ARM_FAILSAFE,COMM_ATTESTATION_REQUEST,COMM_CERT_CHAIN_REQUEST_DAC,COMM_CERT_CHAIN_REQUEST_PAI,COMM_CSR_REQUEST,COMM_ADD_NOC|COMM_FAILSAFE_ARMED,COMM_ATTESTATION_SENT,COMM_CERT_DAC_RECEIVED,COMM_CERT_PAI_RECEIVED,COMM_CSR_RECEIVED,COMM_NOC_INSTALLED
COMM_ARM_FAILSAFE,COMM_ATTESTATION_REQUEST,COMM_CERT_CHAIN_REQUEST_DAC,COMM_CERT_CHAIN_REQUEST_PAI,COMM_CSR_REQUEST,COMM_ARM_FAILSAFE|COMM_FAILSAFE_ARMED,COMM_ATTESTATION_SENT,COMM_CERT_DAC_RECEIVED,COMM_CERT_PAI_RECEIVED,COMM_CSR_RECEIVED,COMM_FAILSAFE_ARMED
COMM_ARM_FAILSAFE,COMM_ATTESTATION_REQUEST,COMM_CERT_CHAIN_REQUEST_DAC,COMM_CERT_CHAIN_REQUEST_PAI,COMM_CSR_REQUEST,COMM_ATTESTATION_REQUEST|COMM_FAILSAFE_ARMED,COMM_ATTESTATION_SENT,COMM_CERT_DAC_RECEIVED,COMM_CERT_PAI_RECEIVED,COMM_CSR_RECEIVED,COMM_ATTESTATION_SENT
COMM_ARM_FAILSAFE,COMM_ATTESTATION_REQUEST,COMM_CERT_CHAIN_REQUEST_DAC,COMM_CERT_CHAIN_REQUEST_PAI,COMM_CSR_REQUEST,COMM_CERT_CHAIN_REQUEST_DAC|COMM_FAILSAFE_ARMED,COMM_ATTESTATION_SENT,COMM_CERT_DAC_RECEIVED,COMM_CERT_PAI_RECEIVED,COMM_CSR_RECEIVED,COMM_CERT_DAC_RECEIVED
COMM_ARM_FAILSAFE,COMM_ATTESTATION_REQUEST,COMM_CERT_CHAIN_REQUEST_DAC,COMM_CERT_CHAIN_REQUEST_PAI,COMM_CSR_REQUEST,COMM_CERT_CHAIN_REQUEST_PAI|COMM_FAILSAFE_ARMED,COMM_ATTESTATION_SENT,COMM_CERT_DAC_RECEIVED,COMM_CERT_PAI_RECEIVED,COMM_CSR_RECEIVED,COMM_CERT_PAI_RECEIVED
COMM_ARM_FAILSAFE,COMM_ATTESTATION_REQUEST,COMM_CERT_CHAIN_REQUEST_DAC,COMM_CERT_CHAIN_REQUEST_PAI,COMM_CSR_REQUEST,COMM_CSR_REQUEST|COMM_FAILSAFE_ARMED,COMM_ATTESTATION_SENT,COMM_CERT_DAC_RECEIVED,COMM_CERT_PAI_RECEIVED,COMM_CSR_RECEIVED,COMM_CSR_RECEIVED

# --- Depth 8: post-commissioning probes (happy path + extra) ---
COMM_ARM_FAILSAFE,COMM_ATTESTATION_REQUEST,COMM_CERT_CHAIN_REQUEST_DAC,COMM_CERT_CHAIN_REQUEST_PAI,COMM_CSR_REQUEST,COMM_ADD_TRUSTED_ROOT_CERT,COMM_ADD_NOC,COMM_ARM_FAILSAFE|COMM_FAILSAFE_ARMED,COMM_ATTESTATION_SENT,COMM_CERT_DAC_RECEIVED,COMM_CERT_PAI_RECEIVED,COMM_CSR_RECEIVED,COMM_ROOT_CERT_INSTALLED,COMM_NOC_INSTALLED,INVALID_STATE
COMM_ARM_FAILSAFE,COMM_ATTESTATION_REQUEST,COMM_CERT_CHAIN_REQUEST_DAC,COMM_CERT_CHAIN_REQUEST_PAI,COMM_CSR_REQUEST,COMM_ADD_TRUSTED_ROOT_CERT,COMM_ADD_NOC,COMM_ADD_NOC|COMM_FAILSAFE_ARMED,COMM_ATTESTATION_SENT,COMM_CERT_DAC_RECEIVED,COMM_CERT_PAI_RECEIVED,COMM_CSR_RECEIVED,COMM_ROOT_CERT_INSTALLED,COMM_NOC_INSTALLED,INVALID_STATE
COMM_ARM_FAILSAFE,COMM_ATTESTATION_REQUEST,COMM_CERT_CHAIN_REQUEST_DAC,COMM_CERT_CHAIN_REQUEST_PAI,COMM_CSR_REQUEST,COMM_ADD_TRUSTED_ROOT_CERT,COMM_ADD_NOC,COMM_CSR_REQUEST|COMM_FAILSAFE_ARMED,COMM_ATTESTATION_SENT,COMM_CERT_DAC_RECEIVED,COMM_CERT_PAI_RECEIVED,COMM_CSR_RECEIVED,COMM_ROOT_CERT_INSTALLED,COMM_NOC_INSTALLED,INVALID_STATE
COMM_ARM_FAILSAFE,COMM_ATTESTATION_REQUEST,COMM_CERT_CHAIN_REQUEST_DAC,COMM_CERT_CHAIN_REQUEST_PAI,COMM_CSR_REQUEST,COMM_ADD_TRUSTED_ROOT_CERT,COMM_ADD_NOC,COMM_ADD_TRUSTED_ROOT_CERT|COMM_FAILSAFE_ARMED,COMM_ATTESTATION_SENT,COMM_CERT_DAC_RECEIVED,COMM_CERT_PAI_RECEIVED,COMM_CSR_RECEIVED,COMM_ROOT_CERT_INSTALLED,COMM_NOC_INSTALLED,INVALID_STATE
